Mother,time,SizeFit,Size,gr,score,Replica
2074.0,15.0,1.3453615071617702,1.3549237563157894,0.02369216787312664,0.9331478074064117,1.0
2074.0,20.0,1.5145579207046236,1.5092040315789474,0.02369216787312664,0.9331478074064117,1.0
2074.0,25.0,0.7035795273313135,0.7733390289473684,0.021014290381530604,0.9750098842476329,1.0
2074.0,30.0,0.7815290859850698,0.7821052226315789,0.021014290381530604,0.9750098842476329,1.0
2074.0,35.0,0.8681146743387834,0.8804650610526316,0.021014290381530604,0.9750098842476329,1.0
2074.0,40.0,0.9642930779120475,0.9678154047368421,0.021014290381530604,0.9750098842476329,1.0
2074.0,45.0,1.0711270844688086,1.072350795263158,0.021014290381530604,0.9750098842476329,1.0
2074.0,50.0,1.1897972280034301,1.1768861857894737,0.021014290381530604,0.9750098842476329,1.0
2074.0,55.0,1.3216148338426874,1.32874051,0.021014290381530604,0.9750098842476329,1.0
2074.0,60.0,1.4680365090142893,1.375052927894737,0.021014290381530604,0.9750098842476329,1.0
2074.0,65.0,1.6306802380029795,1.6736553336842106,0.021014290381530604,0.9750098842476329,1.0
2074.0,70.0,1.8113432617550596,1.857760700526316,0.021014290381530604,0.9750098842476329,1.0
2074.0,75.0,2.012021937497389,2.29295965,0.021014290381530604,0.9750098842476329,1.0
2074.0,80.0,1.2744401987594234,1.2935299494736843,0.023248721459962422,0.9880272799405112,1.0
2074.0,85.0,1.4315397735527575,1.4086344231578949,0.023248721459962422,0.9880272799405112,1.0
2074.0,90.0,1.6080049305242667,1.5882780678947368,0.023248721459962422,0.9880272799405112,1.0
2074.0,95.0,1.8062228548308377,1.8309659389473685,0.023248721459962422,0.9880272799405112,1.0
2074.0,100.0,1.253440225074916,1.2365165321052631,0.008799213347545562,0.47773314935203853,1.0
2074.0,105.0,1.3098177662437513,1.1820244215789473,0.008799213347545562,0.47773314935203853,1.0
2074.0,110.0,1.3687310702552498,1.3509065468421053,0.008799213347545562,0.47773314935203853,1.0
2074.0,115.0,1.430294191271066,1.4810405100000001,0.008799213347545562,0.47773314935203853,1.0
2074.0,120.0,1.4946263134088502,1.2976718115789474,0.008799213347545562,0.47773314935203853,1.0
2074.0,125.0,1.5618519814786584,2.0871369452631576,0.008799213347545562,0.47773314935203853,1.0
2074.0,130.0,1.6321013420974926,1.7138380163157894,0.008799213347545562,0.47773314935203853,1.0
