Mother,time,SizeFit,Size,gr,score,Replica
3.0,0.0,24.08390971346205,24.27224078,0.525224761281067,0.9940965374258572,1.0
3.0,0.3333333333333333,28.692015864952882,28.24849403,0.525224761281067,0.9940965374258572,1.0
3.0,0.6666666666666666,34.18181616644039,34.44911072,0.525224761281067,0.9940965374258572,1.0
3.0,1.0,18.295815744908516,18.58610234,0.6353552243396259,0.9836959193219017,1.0
3.0,1.3333333333333333,22.61147364062347,21.91067589,0.6353552243396259,0.9836959193219017,1.0
3.0,1.6666666666666667,27.94511856312786,28.38850373,0.6353552243396259,0.9836959193219017,1.0
3.0,2.0,13.831509484205425,15.058283300000001,0.5467588180564594,0.9719069925397845,1.0
3.0,2.3333333333333335,16.596672520763327,16.52890511,0.5467588180564594,0.9719069925397845,1.0
3.0,2.6666666666666665,19.914640486347764,20.20562772,0.5467588180564594,0.9719069925397845,1.0
3.0,3.0,23.895928849853647,23.49930286,0.5467588180564594,0.9719069925397845,1.0
3.0,3.3333333333333335,28.673147074320543,28.85501884,0.5467588180564594,0.9719069925397845,1.0
3.0,3.6666666666666665,12.471324101234314,19.36045714,0.3804644984674123,0.30580121124993787,1.0
3.0,4.0,14.157626249730038,18.66176438,0.3804644984674123,0.30580121124993787,1.0
3.0,4.333333333333333,16.071940669652488,16.49866958,0.3804644984674123,0.30580121124993787,1.0
3.0,4.666666666666667,18.245097895118906,17.69099807,0.3804644984674123,0.30580121124993787,1.0
3.0,5.0,20.712097191288972,20.48619367,0.3804644984674123,0.30580121124993787,1.0
3.0,5.333333333333333,23.512670226678697,23.81125956,0.3804644984674123,0.30580121124993787,1.0
3.0,5.666666666666667,26.69192096206738,33.4361471,0.3804644984674123,0.30580121124993787,1.0
3.0,6.0,30.30105206157568,30.39158504,0.3804644984674123,0.30580121124993787,1.0
3.0,6.333333333333333,18.626850546666734,18.58346158,0.3358802766352543,0.9994065334995013,1.0
3.0,6.666666666666667,20.833540452648787,20.83193749,0.3358802766352543,0.9994065334995013,1.0
3.0,7.0,23.30165299306725,23.49672648,0.3358802766352543,0.9994065334995013,1.0
3.0,7.333333333333333,26.062158443179392,25.97891312,0.3358802766352543,0.9994065334995013,1.0
3.0,7.666666666666667,29.149696071753997,29.14457168,0.3358802766352543,0.9994065334995013,1.0
3.0,8.0,32.6030088002171,32.31023023,0.3358802766352543,0.9994065334995013,1.0
3.0,8.333333333333334,36.46542935509493,36.70204966,0.3358802766352543,0.9994065334995013,1.0
3.0,8.666666666666666,23.797620103376534,23.93654883,0.45729106867230473,0.988389439138936,1.0
3.0,9.0,27.71616830536805,27.90200557,0.45729106867230473,0.988389439138936,1.0
3.0,9.333333333333334,32.27994993593893,31.30000234,0.45729106867230473,0.988389439138936,1.0
3.0,9.666666666666666,37.59521000112091,38.29047551,0.45729106867230473,0.988389439138936,1.0
4.0,0.3333333333333333,28.33697321308395,28.0167745,0.28867410719115183,0.9598385675767935,1.0
4.0,0.6666666666666666,31.199189855620574,31.91640497,0.28867410719115183,0.9598385675767935,1.0
4.0,1.0,34.350508797376335,33.96235906,0.28867410719115183,0.9598385675767935,1.0
4.0,1.3333333333333333,19.509089902471693,19.38411862,0.40122557857041735,0.9989521381832724,1.0
4.0,1.6666666666666667,22.300795831137734,22.39509521,0.40122557857041735,0.9989521381832724,1.0
4.0,2.0,25.491988462213286,25.56309457,0.40122557857041735,0.9989521381832724,1.0
4.0,2.3333333333333335,29.139833424700786,29.358495,0.40122557857041735,0.9989521381832724,1.0
4.0,2.6666666666666665,33.309676617733146,33.04246046,0.40122557857041735,0.9989521381832724,1.0
4.0,3.0,16.74751226510555,18.21971279,0.4133095046415593,0.9519563791988773,1.0
4.0,3.3333333333333335,19.22131002396691,19.18251463,0.4133095046415593,0.9519563791988773,1.0
4.0,3.6666666666666665,22.06051580611411,22.18511307,0.4133095046415593,0.9519563791988773,1.0
4.0,4.0,25.319104526433932,25.18771151,0.4133095046415593,0.9519563791988773,1.0
4.0,4.333333333333333,29.059023807721537,29.10530225,0.4133095046415593,0.9519563791988773,1.0
4.0,4.666666666666667,18.028979706525085,17.97135462,0.2807588349986059,0.8480174838510142,1.0
4.0,5.0,19.79771892568866,21.00108691,0.2807588349986059,0.8480174838510142,1.0
4.0,5.333333333333333,21.739980910773102,21.8248785,0.2807588349986059,0.8480174838510142,1.0
4.0,5.666666666666667,23.872789172065623,23.99270166,0.2807588349986059,0.8480174838510142,1.0
4.0,6.0,26.214837317151392,26.06566657,0.2807588349986059,0.8480174838510142,1.0
4.0,6.333333333333333,28.786652896380048,32.63920666,0.2807588349986059,0.8480174838510142,1.0
4.0,6.666666666666667,31.610777322447746,39.23784216,0.2807588349986059,0.8480174838510142,1.0
4.0,7.0,18.43250399059776,18.59340398,0.47090538829552236,0.9869021891932968,1.0
4.0,7.333333333333333,21.565268702542816,21.31221308,0.47090538829552236,0.9869021891932968,1.0
4.0,7.666666666666667,25.230474082636626,25.23862901,0.47090538829552236,0.9869021891932968,1.0
4.0,8.0,29.51861306321389,31.25773115,0.47090538829552236,0.9869021891932968,1.0
4.0,8.333333333333334,34.53555863920116,34.63202546,0.47090538829552236,0.9869021891932968,1.0
4.0,8.666666666666666,16.297753661401597,15.98973797,0.46535864827072776,0.9634504548140977,1.0
4.0,9.0,19.03247699651866,17.27082827,0.46535864827072776,0.9634504548140977,1.0
4.0,9.333333333333334,22.22608024079436,18.90797943,0.46535864827072776,0.9634504548140977,1.0
4.0,9.666666666666666,25.955562324367406,26.68486207,0.46535864827072776,0.9634504548140977,1.0
